hello     23:26:44 21 Nov
<type 'exceptions.AttributeError'>     00:24:02 26 Nov
<type 'exceptions.AttributeError'>     00:24:02 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:22 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.ProgrammingError'>     00:36:24 26 Nov
<class 'sqlite3.OperationalError'>     00:37:38 26 Nov
<class 'sqlite3.OperationalError'>     00:37:38 26 Nov
<class 'sqlite3.OperationalError'>     00:37:38 26 Nov
<class 'sqlite3.OperationalError'>     00:37:38 26 Nov
<class 'sqlite3.OperationalError'>     00:37:38 26 Nov
<class 'sqlite3.OperationalError'>     00:37:38 26 Nov
<class 'sqlite3.OperationalError'>     00:37:38 26 Nov
